Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Amber","311","From Chaos","sunny summer rock for driving to the beach ","Playlist","USVR10100044","6Fe3Flc9SjE03pqwD6PVQl"
"Pepper","Butthole Surfers","Electriclarryland","sunny summer rock for driving to the beach ","Playlist","USCA29600428","1ng36571Iyov4HBxUClySn"
"What I Got","Sublime","Sublime","sunny summer rock for driving to the beach ","Playlist","USGA19649251","3B4q6KbHbGV51HO3GznBFF"
"Island In The Sun","Weezer","Weezer","sunny summer rock for driving to the beach ","Playlist","USIR10110358","2MLHyLy5z5l5YRp7momlgw"
"The Adults Are Talking","The Strokes","The New Abnormal","sunny summer rock for driving to the beach ","Playlist","USRC11902726","5ruzrDWcT0vuJIOMW7gMnW"
"Doin' Time","Sublime","Sublime","sunny summer rock for driving to the beach ","Playlist","USUM70605191","4eamJr2k9YDH8j58RSTmSc"
"Champagne","311","From Chaos","sunny summer rock for driving to the beach ","Playlist","USVR10100041","4cSSUpptr7r125fK5nRJhP"
"Wrong Way","Sublime","Sublime","sunny summer rock for driving to the beach ","Playlist","USGA19649249","2PdIo7ewQPuAsP99LVg9uy"
"Happy Together","Weezer","Weezer (Teal Album)","sunny summer rock for driving to the beach ","Playlist","USAT21900610","3KxOYNt66Hj42HzO7ao0CV"
"I Can Fly Away","Delicate Steve","After Hours","sunny summer rock for driving to the beach ","Playlist","USEP42157004","4CpLkaW3Hjr8sIKvdA5I0t"
"Summer Romance (Anti-Gravity Love Song)","Incubus","S.C.I.E.N.C.E.","sunny summer rock for driving to the beach ","Playlist","USSM19700744","4O1aEPLNamT9ZuClNZi2KM"
"Deep Inside","Incubus","S.C.I.E.N.C.E.","sunny summer rock for driving to the beach ","Playlist","USSM19700739","1rH6IEkxIjjm6SEN2J4rSE"
"Badfish","Sublime","Jah Won't Pay The Bills","sunny summer rock for driving to the beach ","Playlist","USGA19244450","4paJ10JPNCyOaLtz2cY928"
"Santeria","Sublime","Sublime","sunny summer rock for driving to the beach ","Playlist","USGA19649253","2hnMS47jN0etwvFPzYk11f"
"I Sat by the Ocean","Queens of the Stone Age","...Like Clockwork","sunny summer rock for driving to the beach ","Playlist","USMTD1303752","1D3YGmST01Ba0WRiT7THPG"
"Beverly Hills","Weezer","Make Believe","sunny summer rock for driving to the beach ","Playlist","USIR10500448","1yKu2MhpwzDXXH2tzG6xoa"
"Semi-Charmed Life","Third Eye Blind","Third Eye Blind","sunny summer rock for driving to the beach ","Playlist","USEE19701203","42et6fnHCw1HIPSrdPprMl"
"Doesn't Remind Me","Audioslave","Out of Exile","sunny summer rock for driving to the beach ","Playlist","USIR10500779","0o995gJCGebaza0LWybToU"
"Go With The Flow","Queens of the Stone Age","Songs For The Deaf","sunny summer rock for driving to the beach ","Playlist","USIR10211290","0wzRcekWyVCSyPtlPOeJau"
"Make It Wit Chu","Queens of the Stone Age","Era Vulgaris","sunny summer rock for driving to the beach ","Playlist","USUM70734881","6GyDY0yE47rfk8pcuKhioh"
"Smooth Sailing","Queens of the Stone Age","...Like Clockwork","sunny summer rock for driving to the beach ","Playlist","USMTD1303758","5fb0p81SAZBkZEvmLAfGKz"
"When You Were Young","The Killers","Sam's Town","sunny summer rock for driving to the beach ","Playlist","USUM70605164","70wYA8oYHoMzhRRkARoMhU"
"Read My Mind","The Killers","Sam's Town","sunny summer rock for driving to the beach ","Playlist","USUM70605406","7cX4PJz1old9fyFI8RlfgW"
"Bones","The Killers","Sam's Town","sunny summer rock for driving to the beach ","Playlist","USUM70605407","4shKoD4U0rsE6UDjyPEjyK"
"Do Me a Favour","Arctic Monkeys","Favourite Worst Nightmare","sunny summer rock for driving to the beach ","Playlist","GBCEL0700069","2BqfIlpahcebJPeu1IUTEo"
"Slow Hands","Interpol","Antics","sunny summer rock for driving to the beach ","Playlist","USMTD0461605","4ZTczxCALS91VjEKWPX2DR"
"Hit That","The Offspring","Splinter","sunny summer rock for driving to the beach ","Playlist","USSM10312711","3lfmqF0ULXRHlWxBeaHo3t"
"Under the Bridge","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)","sunny summer rock for driving to the beach ","Playlist","USWB19901576","3d9DChrdc6BOeFsbrZ3Is0"
"Back Home","Pepper","In With The Old","sunny summer rock for driving to the beach ","Playlist","USVE30400022","4j0QTMiqWWnyLbJZHLo6NE"
